Country,Annual CO₂ emissions (mega-tonnes),Year
Afghanistan,11.681766,2020
Albania,4.728559,2020
Algeria,172.50446,2020
Andorra,0.448884,2020
Angola,20.275732,2020
Anguilla,0.13139,2020
Antigua and Barbuda,0.425453,2020
Argentina,169.26269,2020
Armenia,6.430661,2020
Aruba,0.778954,2020
Australia,399.9221,2020
Austria,62.03745,2020
Azerbaijan,37.508016,2020
Bahamas,2.166673,2020
Bahrain,37.602748,2020
Bangladesh,90.825304,2020
Barbados,1.02158594,2020
Belarus,58.59204,2020
Belgium,90.36801,2020
Belize,0.614674,2020
Benin,7.263804,2020
Bermuda,0.497405,2020
Bhutan,1.499693,2020
Bolivia,21.067598,2020
Bosnia and Herzegovina,20.93295,2020
Botswana,6.258589,2020
Brazil,442.306,2020
British Virgin Islands,0.143903,2020
Brunei,10.553166,2020
Bulgaria,36.96711,2020
Burkina Faso,5.388991,2020
Burundi,0.657129,2020
Cambodia,18.703284,2020
Cameroon,9.007287,2020
Canada,534.86384,2020
Cape Verde,0.62508,2020
Central African Republic,0.214242,2020
Chad,1.802198,2020
Chile,83.8338,2020
China,10956.213,2020
Colombia,85.52563,2020
Comoros,0.282485,2020
Cook Islands,0.088942,2020
Costa Rica,7.081741,2020
Croatia,16.870528,2020
Cuba,19.732182,2020
Cyprus,7.269578,2020
Denmark,28.282028,2020
Djibouti,0.363307,2020
Dominica,0.143903,2020
Dominican Republic,26.379836,2020
Ecuador,34.45746,2020
Egypt,235.81978,2020
El Salvador,6.500975,2020
Equatorial Guinea,4.989116,2020
Eritrea,0.78314,2020
Estonia,9.34301,2020
Ethiopia,17.040752,2020
Faroe Islands,0.692173,2020
Fiji,1.430807,2020
Finland,37.59593,2020
France,280.03152,2020
French Guiana,0.651382,2020
French Polynesia,0.924224,2020
Gabon,5.692816,2020
Gambia,0.613851,2020
Georgia,10.690587,2020
Germany,639.38106,2020
Ghana,19.65435,2020
Greece,55.610276,2020
Greenland,0.50047803,2020
Grenada,0.28596,2020
Guadeloupe,2.291068,2020
Guatemala,17.595580000000002,2020
Guinea,4.532763,2020
Guinea-Bissau,0.329383,2020
Guyana,3.190965,2020
Haiti,2.617741,2020
Honduras,9.844177,2020
Hong Kong,31.504806,2020
Hungary,47.284496,2020
Iceland,3.328876,2020
India,2445.012,2020
Indonesia,609.7861,2020
Iran,729.9779,2020
Iraq,173.50704,2020
Ireland,35.153204,2020
Israel,55.0081,2020
Italy,302.2786,2020
Jamaica,6.943511,2020
Japan,1042.224,2020
Jordan,24.94216,2020
Kazakhstan,278.4046,2020
Kenya,18.275836,2020
Kiribati,0.069607,2020
Kosovo,8.521778,2020
Kuwait,99.77876,2020
Kyrgyzstan,8.488702,2020
Laos,20.4878,2020
Latvia,6.994113,2020
Lebanon,24.475148,2020
Lesotho,2.188045,2020
Liberia,1.127383,2020
Libya,58.565148,2020
Liechtenstein,0.141996,2020
Lithuania,13.653155,2020
Luxembourg,8.096513,2020
Madagascar,4.0005822,2020
Malawi,1.471603,2020
Malaysia,259.48136,2020
Maldives,2.061136,2020
Mali,3.928363,2020
Malta,1.599576,2020
Marshall Islands,0.154682,2020
Martinique,2.100146,2020
Mauritania,3.855281,2020
Mauritius,4.208353,2020
Mayotte,0.273281,2020
Mexico,391.7062,2020
Moldova,5.250277,2020
Mongolia,49.60519,2020
Montenegro,2.451262,2020
Montserrat,0.01877,2020
Morocco,64.72032,2020
Mozambique,6.669406,2020
Namibia,3.945144,2020
Nauru,0.058006,2020
Nepal,13.944494,2020
Netherlands,137.84952,2020
New Caledonia,5.386592,2020
New Zealand,34.45675,2020
Nicaragua,4.556966,2020
Niger,2.491381,2020
Nigeria,130.176776,2020
Niue,0.011601,2020
North Korea,55.33648,2020
Norway,41.196,2020
Oman,72.506184,2020
Pakistan,210.38392,2020
Panama,11.656361,2020
Papua New Guinea,8.3251285,2020
Paraguay,8.0332525,2020
Peru,47.48914,2020
Philippines,135.66166,2020
Poland,303.52307,2020
Portugal,41.799892,2020
Qatar,92.86073,2020
Romania,74.13801,2020
Russia,1624.2214,2020
Rwanda,1.661876,2020
Saint Helena,0.012513,2020
Saint Kitts and Nevis,0.215855,2020
Saint Lucia,0.441095,2020
Saint Pierre and Miquelon,0.05631,2020
Saint Vincent and the Grenadines,0.193957,2020
Samoa,0.286161,2020
Saudi Arabia,661.19296,2020
Senegal,12.743876,2020
Serbia,44.549156,2020
Seychelles,0.538384,2020
Sierra Leone,1.216472,2020
Singapore,29.909494,2020
Slovakia,31.094728,2020
Slovenia,12.866237,2020
Solomon Islands,0.309364,2020
Somalia,0.578264,2020
South Africa,435.83184,2020
South Korea,597.63424,2020
Spain,213.33973,2020
Sri Lanka,21.70368,2020
Sudan,20.035506,2020
Suriname,2.607637,2020
Sweden,36.515104,2020
Switzerland,34.24097,2020
Syria,26.159826,2020
Taiwan,264.26718,2020
Tajikistan,9.434043,2020
Tanzania,12.29418,2020
Thailand,277.36845,2020
Togo,2.243693,2020
Tonga,0.17015,2020
Trinidad and Tobago,35.756216,2020
Tunisia,27.57828,2020
Turkey,413.4331,2020
Turkmenistan,72.035944,2020
Turks and Caicos Islands,0.309705,2020
Tuvalu,0.007734,2020
Uganda,5.506982,2020
Ukraine,206.94117,2020
United Arab Emirates,199.08445,2020
United Kingdom,326.2632,2020
United States,4715.691,2020
Uruguay,6.29665,2020
Uzbekistan,118.239704,2020
Vanuatu,0.17015,2020
Venezuela,76.46747,2020
Vietnam,328.8997,2020
Wallis and Futuna,0.027069,2020
Yemen,12.140133,2020
Zambia,7.280663,2020
Zimbabwe,10.607897,2020
