Country,Annual CO₂ emissions (Mt),GDP Per Capita,Population
Argentina,186.44829,23649.642932,45847428
Australia,391.18742,62095.40433,25959987
Austria,64.625588,59857.431692,9065484
Belgium,95.72228,58845.530928,11658404
Bulgaria,42.560212,28105.865013,6866274
Canada,545.6345,53023.405782,38261228
Chile,85.44692,28070.413247,19275294
China,11472.369,19429.069638,1447065329
Colombia,91.70338,17644.507027,51504213
Costa Rica,7.819507,22612.375289,5165346
Croatia,17.70145,34044.071906,4067642
Cyprus,7.600422,44393.9811,1220541
Denmark,29.576956,66117.728509,5825798
Estonia,10.449021,43505.074864,1324323
Finland,37.60233,54773.513718,5553102
France,305.9637,50997.632933,65520147
Georgia,11.009796,17013.566329,3973946
Germany,674.75354,59055.316879,83975691
Greece,56.30928,31297.164572,10340571
Hong Kong,31.66438,65892.583581,7585785
Hungary,48.45462,36735.9098,9618215
Iceland,3.374964,58297.108148,344646
Indonesia,619.2775,13083.000494,278037263
Ireland,37.54033,108831.365241,5008554
Israel,54.528532,44158.809988,8868656
Italy,328.68733,47591.832142,60320493
Japan,1067.3984599999999,42895.146536,125802521
Latvia,7.266214,34796.912268,1855735
Lithuania,13.880837,43931.670922,2670680
Luxembourg,8.354555,131430.737036,640202
Malta,1.724154,49980.098186,443646
Mexico,407.20506,19438.782132,131046075
Morocco,70.57766,9073.558801,37599544
Netherlands,141.04542,64488.958411,17195298
New Zealand,33.789824,47981.692244,4883704
Norway,40.91855,81871.642989,5492570
Poland,328.57978,37825.969449,37764461
Portugal,40.797216,36971.269095,10150252
Romania,79.326856,36255.862609,19062255
Serbia,30.868986,21588.39529,8674489
Singapore,32.50689,124341.827548,5925135
Slovakia,35.308216,34547.086573,5460937
Slovenia,12.54933,44041.052941,2078724
South Africa,435.9289,14812.842929,60474550
Spain,233.64954,41255.752458,46736811
Sweden,35.848948,60396.719301,10196161
Switzerland,34.931692,75969.787471,8752564
Turkey,446.2042,30679.506593,85484777
